treatment,arg_mode,problem,solutions_found,total_runs,min_solution_size
PROBLEM_for-loop-index__ARGS_NUM_ONLY__ASR_001,ARGS_NUM_ONLY__ASR_001,for-loop-index,10,30,11
PROBLEM_for-loop-index__ARGS_NUM_ONLY__ASR_005,ARGS_NUM_ONLY__ASR_005,for-loop-index,9,30,14
PROBLEM_for-loop-index__ARGS_NUM_ONLY__ASR_01,ARGS_NUM_ONLY__ASR_01,for-loop-index,7,30,10
PROBLEM_for-loop-index__ARGS_TAG_ONLY__BFR_001,ARGS_TAG_ONLY__BFR_001,for-loop-index,18,30,10
PROBLEM_for-loop-index__ARGS_TAG_ONLY__BFR_005,ARGS_TAG_ONLY__BFR_005,for-loop-index,21,30,10
PROBLEM_for-loop-index__ARGS_TAG_ONLY__BFR_01,ARGS_TAG_ONLY__BFR_01,for-loop-index,21,30,10
PROBLEM_grade__ARGS_NUM_ONLY__ASR_001,ARGS_NUM_ONLY__ASR_001,grade,13,30,31
PROBLEM_grade__ARGS_NUM_ONLY__ASR_005,ARGS_NUM_ONLY__ASR_005,grade,17,30,19
PROBLEM_grade__ARGS_NUM_ONLY__ASR_01,ARGS_NUM_ONLY__ASR_01,grade,13,30,22
PROBLEM_grade__ARGS_TAG_ONLY__BFR_001,ARGS_TAG_ONLY__BFR_001,grade,25,30,20
PROBLEM_grade__ARGS_TAG_ONLY__BFR_005,ARGS_TAG_ONLY__BFR_005,grade,25,30,16
PROBLEM_grade__ARGS_TAG_ONLY__BFR_01,ARGS_TAG_ONLY__BFR_01,grade,23,30,16
PROBLEM_median__ARGS_NUM_ONLY__ASR_001,ARGS_NUM_ONLY__ASR_001,median,10,30,17
PROBLEM_median__ARGS_NUM_ONLY__ASR_005,ARGS_NUM_ONLY__ASR_005,median,11,30,14
PROBLEM_median__ARGS_NUM_ONLY__ASR_01,ARGS_NUM_ONLY__ASR_01,median,9,30,17
PROBLEM_median__ARGS_TAG_ONLY__BFR_001,ARGS_TAG_ONLY__BFR_001,median,21,30,11
PROBLEM_median__ARGS_TAG_ONLY__BFR_005,ARGS_TAG_ONLY__BFR_005,median,27,30,11
PROBLEM_median__ARGS_TAG_ONLY__BFR_01,ARGS_TAG_ONLY__BFR_01,median,20,30,10
PROBLEM_small-or-large__ARGS_NUM_ONLY__ASR_001,ARGS_NUM_ONLY__ASR_001,small-or-large,1,30,45
PROBLEM_small-or-large__ARGS_NUM_ONLY__ASR_005,ARGS_NUM_ONLY__ASR_005,small-or-large,0,30,NONE
PROBLEM_small-or-large__ARGS_NUM_ONLY__ASR_01,ARGS_NUM_ONLY__ASR_01,small-or-large,0,30,NONE
PROBLEM_small-or-large__ARGS_TAG_ONLY__BFR_001,ARGS_TAG_ONLY__BFR_001,small-or-large,0,30,NONE
PROBLEM_small-or-large__ARGS_TAG_ONLY__BFR_005,ARGS_TAG_ONLY__BFR_005,small-or-large,1,30,17
PROBLEM_small-or-large__ARGS_TAG_ONLY__BFR_01,ARGS_TAG_ONLY__BFR_01,small-or-large,1,30,19
PROBLEM_smallest__ARGS_NUM_ONLY__ASR_001,ARGS_NUM_ONLY__ASR_001,smallest,11,30,12
PROBLEM_smallest__ARGS_NUM_ONLY__ASR_005,ARGS_NUM_ONLY__ASR_005,smallest,5,30,15
PROBLEM_smallest__ARGS_NUM_ONLY__ASR_01,ARGS_NUM_ONLY__ASR_01,smallest,5,30,16
PROBLEM_smallest__ARGS_TAG_ONLY__BFR_001,ARGS_TAG_ONLY__BFR_001,smallest,17,30,10
PROBLEM_smallest__ARGS_TAG_ONLY__BFR_005,ARGS_TAG_ONLY__BFR_005,smallest,17,30,12
PROBLEM_smallest__ARGS_TAG_ONLY__BFR_01,ARGS_TAG_ONLY__BFR_01,smallest,14,30,12
